@relation foodfacts
@attribute vitamin-c_100g numeric
@attribute sodium_100g numeric
@attribute salt_100g numeric
@attribute proteins_100g numeric
@attribute fiber_100g numeric
@attribute sugars_100g numeric
@attribute carbohydrates_100g numeric
@attribute saturated-fat_100g numeric
@attribute fat_100g numeric
@attribute energy_100g numeric
@attribute nutrition-score-fr_100g {bad, medium, good}
@data

0.00271,0.481,1.22,9.77,0.752,3.76,25.6,4.51,12,1070,good
0,0.298,0.757,8.08,0.505,1.52,21.2,4.04,7.58,761,medium
0,0.0705,0.179,4.85,0,10.1,15,0,0,332,bad
0,0.585,1.48,15.4,4.62,1.54,58.5,4.62,10.8,1670,medium
0,0.367,0.931,6.67,6.67,33.3,66.7,13.3,26.7,2230,good
0.0156,0,0,0,1.04,25,26,0,0,435,medium
0.00776,0.319,0.81,1.72,1.72,5.17,8.62,0,0,162,medium
0,0.0875,0.222,5,2.5,50,50,25,40,2400,good
0,0.0625,0.159,7.5,2.5,52.5,55,20,32.5,2300,good
0,0.0625,0.159,5,2.5,50,55,20,30,2200,good
0,0.0333,0.0847,6.67,3.33,56.7,56.7,10,30,2230,good
0,0.0405,0.103,5.41,2.7,56.8,56.8,10.8,32.4,2260,good
0,0.0405,0.103,5.41,2.7,56.8,56.8,10.8,32.4,2260,good
0,0.0405,0.103,5.41,2.7,56.8,56.8,10.8,32.4,2260,good
0.0316,0.0526,0.134,5.26,5.26,15.8,31.6,2.63,26.3,1540,medium
0,0.269,0.684,2.56,0,51.3,69.2,8.97,15.4,1820,good
0,0.232,0.589,2.44,0,58.5,75.6,17.1,17.1,1940,good
0,0.179,0.456,2.56,0,51.3,69.2,8.97,15.4,1820,good
0,0.0441,0.112,2.94,0,14.1,15.9,2.06,4.12,443,medium
0,0.482,1.22,7.14,3.57,7.14,50,0,1.79,1050,medium
0,0.465,1.18,9.3,2.33,6.98,51.2,0,2.33,1170,medium
0,0.317,0.804,36.7,16.7,3.33,26.7,3.33,26.7,2090,medium
0,0,0,23.3,10,3.33,20,3.33,50,2650,medium
0.002,0.333,0.847,0.833,1.67,1.67,3.33,0,0,70,bad
0.0182,0.0606,0.154,6.06,3.03,9.09,18.2,0,0,442,bad
0.0109,0.485,1.23,3.03,6.06,12.1,21.2,0,0,382,bad
0.000923,0.1,0.254,4.62,4.62,2.31,15.4,0,1.54,386,bad
0,1.69,4.3,47,0,9.41,23.5,0,0,1180,good
0,0.535,1.36,9.3,2.33,4.65,53.5,0,3.49,1170,medium
0.0072,0.195,0.4953,3,1,0,22.5,2,14,879,medium
0.0129,0.429,1.09,0,3.57,3.57,53.6,7.14,32.1,2090,good
0.0214,0.393,0.998,3.57,3.57,0,53.6,8.93,32.1,2090,good
0.012,0.11,0.2794,0,0,19,20,0,0,293,medium
0,0.00606,0.0154,0.303,0,6.36,6.97,0,0.152,139,good
0.00333,0.00139,0.00353,0,0,5.56,7.5,0,0,105,bad
0.00973,0.784,1.99,0,0,43.2,48.6,0,0,792,good
0,0.833,2.12,10,3.33,0,63.3,1.67,23.3,2090,good
0,0.607,1.54,15.5,2.82,7.05,66.3,2.82,5.64,1590,medium
0,0.761,1.93,15.5,2.82,7.04,64.8,4.23,7.04,1650,good
0,0.357,0.907,10.7,10.7,7.14,42.9,0,3.57,896,bad
0,0.0444,0.113,5.56,0,9.78,10.4,0.222,1.56,344,medium
0,0.176,0.448,3.92,0,35.3,62.7,15.7,27.4,2130,good
0,0.465,1.18,9.3,2.33,6.98,51.2,0,4.65,279,bad
0,0.176,0.448,5.88,2.94,32.4,64.7,11.8,26.5,2210,good
0,0.26,0.66,4,4,32,64,20,28,2180,good
0,0.512,1.3,9.3,2.33,4.65,51.2,0,3.49,1170,medium
0,0.16,0.406,4,4,32,64,18,28,2180,good
0,0.231,0.586,3.85,0,38.5,65.4,13.5,23.1,2090,good
0,0.231,0.586,3.85,0,38.5,65.4,13.5,23.1,2090,good
0,0.375,0.952,3.57,0,28.6,67.9,10.7,25,2090,good
0,0.14,0.356,4,4,36,64,16,28,2180,good
0,0.308,0.782,7.69,3.85,19.2,69.2,11.5,19.2,1930,good
0,0.8,2.03,10,3.33,3.33,66.7,3.33,16.7,1950,good
0,0.9,2.29,13.3,3.33,3.33,63.3,3.33,16.7,1950,good
0,0.767,1.95,10,3.33,3.33,66.7,1.67,20,2090,good
0,0.833,2.12,10,3.33,0,66.7,3.33,16.7,1950,good
0,0.346,0.879,3.85,3.85,38.5,65.4,11.5,26.9,2090,good
0,0.269,0.684,3.85,3.85,34.6,65.4,13.5,26.9,2090,good
0.0104,0.223,0.567,0,0.87,2.61,3.48,0,0,72.8,bad
0,0.5,1.27,7.14,0,0,71.4,3.57,17.9,1940,good
0.0214,0.5,1.27,10.7,10.7,3.57,71.4,1.79,7.14,1490,medium
0.0214,0.5,1.27,10.7,10.7,3.57,71.4,1.79,7.14,357,bad
0,0.449,1.14,8.16,12.2,28.6,81.6,1.02,6.12,1540,good
0.0187,0.5,1.27,3.12,3.12,31.2,84.4,0,4.69,1570,good
0.0222,0.63,1.6,7.41,7.41,37,81.5,0,3.7,1700,good
0.0214,0.571,1.45,7.14,7.14,32.1,78.6,0,5.36,1640,good
0.0222,0.481,1.22,3.7,3.7,33.3,85.2,0,5.56,1550,good
0.0214,0.571,1.45,7.14,7.14,32.1,78.6,0,5.36,1640,good
0.0231,0.442,1.12,3.85,3.85,30.8,84.6,0,3.85,1610,medium
0.0214,0.5,1.27,10.7,10.7,3.57,71.4,1.79,7.14,1490,medium
0.0187,0.625,1.59,6.25,3.12,25,81.2,1.56,7.81,1700,good
0.0222,0.815,2.07,7.41,3.7,7.41,85.2,0,1.85,1550,medium
0,0.0157,0.039878,2.06,0,0,2.85,20.8,22.5,916,good
0,0.00909,0.0231,0,0.303,13.3,15.8,0,0,266,good
0,0.0531,0.135,20.4,0,0,0,3.54,9.73,704,medium
0,1.14,2.9,19.3,0,0,3.51,1.75,7.02,661,good
0,0.277,0.703,5.38,5.38,0,16.2,0,0,354,bad
0,0.325,0.825,5,0,5,5,22.5,35,1460,good
0,0.643,1.63,25,0,0,3.57,17.9,32.1,1640,good
0,0.804,2.04,11.3,2.82,7.05,70.5,0.705,1.41,1420,medium
0,0.423,1.07,6.41,2.56,8.97,39.7,1.28,11.5,1230,medium
0,0.211,0.535,2.11,2.11,5.26,12.6,0,1.05,264,bad
0,0.0833,0.212,3.03,1.52,21.2,28.8,6.82,10.6,952,good
0,1.13,2.87,0,0,12.9,16.1,1.61,14.5,810,good
0,0.81,2.06,10.3,1.72,10.3,70.7,2.59,5.17,1590,good
0,0.538,1.37,0,0,0,0,11.5,76.9,2900,good
0,0.667,1.69,0,0,6.67,13.3,3.33,23.3,1110,good
0,0.538,1.37,0,0,0,0,11.5,76.9,2900,good
0,0.538,1.37,0,0,0,0,11.5,76.9,2900,good
0,0.836,2.12,10.9,1.82,10.9,70.9,2.73,5.45,1600,good
0,0.919,2.33,0,0,37.8,40.5,0,0,678,good
0,0.919,2.33,0,0,37.8,43.2,0,0,792,good
0,0.946,2.4,0,0,35.1,40.5,0,0,678,good
0,0.836,2.12,10.9,1.82,10.9,70.9,2.73,5.45,1600,good
0,0.703,1.78,0,0,16.2,29.7,0,0,565,good
0,0.967,2.46,0,0,3.33,6.67,6.67,40,1670,good
0,0.897,2.28,0,0,3.45,6.9,5.17,37.9,1590,good
0,1.03,2.62,0,0,24.2,27.3,3.03,18.2,1140,good
0,0.9,2.29,0,0,13.3,13.3,6.67,40,1810,good
0,0.897,2.28,0,0,3.45,6.9,5.17,37.9,1590,good
0,0.61,1.5494,9,2,7,49,1,2,1046,medium
0.00375,1.12,2.86,0,0,6.25,9.38,0,3.12,328,good
0.00706,0.941,2.39,0,0,23.5,29.4,0,0,494,good
0,0,0,10,12.5,20,37.5,27.5,47.5,2300,good
0,0,0,10,15,12.5,35,30,50,2300,good
0.000706,0.0588,0.149,8.24,0,4.71,5.88,0,0,246,bad
0,0.643,1.63,17.9,0,0,3.57,0,3.57,450,medium
0,0.784,1.99,0,0,43.2,48.6,0,0,792,good
0.0072,0.344,0.874,1.6,1.6,5.6,8,0,2,201,medium
0,0,0,0,0,0,0,13.3,93.3,3350,good
0,0.233,0.593,6.67,3.33,26.7,76.7,6.67,13.3,1810,good
0,0.122,0.31,8.89,6.67,35.6,62.2,6.67,24.4,1950,good
0.00857,0.5,1.27,3.57,10.7,10.7,60.7,1.79,28.6,2240,medium
0.0525,0,0,0,0,55,85,7.5,7.5,1670,good
0.0005,0.0521,0.132,3.33,0,5,5.42,1.25,2.08,227,medium
0,0,0,0,0,0,0,85.7,100,3590,good
0,1.21,3.08,7.14,0,0,71.4,0,10.7,1790,good
0,0.144,0.366,0.8,1.6,2.4,10.4,0,0.8,201,bad
0.0072,0.008,0.0203,3.2,3.2,3.2,12,0,0,268,bad
0,0.412,1.05,1.67,0,0,0,0,0,35,medium
0,0,0,12.5,3.57,1.79,73.2,0,1.79,1490,bad
0,0,0,12.5,3.57,1.79,73.2,0,1.79,1490,bad
0,0.29,0.737,6.45,3.23,32.3,64.5,11.3,19.4,1890,good
0,0.244,0.62,4.65,0,34.9,65.1,9.3,16.3,1750,good
0,0.202,0.512,7.02,1.75,36.8,57.9,12.3,31.6,2280,good
0,0.23,0.583,3.28,1.64,42.6,63.9,11.5,19.7,1850,good
0,0.25,0.635,3.33,3.33,23.3,60,3.33,11.7,1530,good
0,0.415,1.05,3.77,0,28.3,54.7,11.3,20.8,1740,good
0,0.0187,0.0476,0,0,3.75,3.75,2.08,2.08,157,medium
0.0089,0.0487,0.124,2.54,0.424,6.78,7.63,0.212,1.48,231,medium
0,1.71,4.35,28.6,0,0,0,10.7,25,1490,good
0.00211,0.404,1.02,5.26,0,43.9,70.2,4.39,12.3,1760,good
0,1.71,4.34,20,1.82,3.64,16.4,14.5,40,2050,good
0.00992,0.223,0.567,0.826,1.65,2.48,5.79,0,0,121,bad
0.00496,0.19,0.483,1.65,2.48,3.31,7.44,0,0,155,bad
0,0.136,0.345,1.09,1.09,14.1,21.7,1.63,2.72,500,medium
0,0.667,1.69,9.52,9.52,0,61.9,5.95,14.3,1590,good
0,0.679,1.72,0,0,0,0,10.7,35.7,1490,good
0,0.714,1.81,0,0,0,0,14.3,50,2090,good
0,0.2,0.508,5,2.5,45,72.5,10,17.5,1880,good
